card_name,cost,civilization,card_type,race,power,rarity,card_set,coll_num,card_text
"Glen Bramsley, Red Destroyer of Gaia",5,darkness/fire,Creature,lost_crusader,6000,vr,dm-24,9/110,"■ (This creature is put into your mana zone tapped.)
■ When you put this creature into the battle zone, reveal the top card of your deck. If that card isn't multicolored, choose one of your shields and put it into your graveyard.
■ Double breaker"
"Mr. Aesop, Mystical Meteor",8,fire/nature,Evolution Creature,phoenix/dreammate,9000,vr,dm-24,10/110,"■ (This creature is put into your mana zone tapped.)
■ Vortex evolution—Put on one of your fire creatures and one of your nature creatures.
■ At the start of your turn, you may put a Fire or Nature creature that costs 7 or less from your mana zone into the battle zone.
■ Double breaker"
"Fortain, Iridescence Elemental",7,light,Creature,angel_command,5000,r,dm-24,11/110,"■ Whenever a water, darkness, fire, or nature creature is summoned or a water, darkness, fire, or nature spell is cast, this creature gets +5000 power until the end of the turn.
■ While this creature has power 6000 or more, it has ""double breaker"".
■ While this creature has power 12000 or more, it has ""triple breaker"" instead of ""double breaker""."
"Lugias, the Explorer",5,light,Creature,gladiator,4500,r,dm-24,12/110,"■ When you put this creature into the battle zone, choose one of your opponent's creatures in the battle zone and tap it.
■ Over Drive—Water x2 (When you summon this creature, you may tap another 2 water cards in your mana zone. If you do, this creature gets the following over drive ability.)
  When you put this creature into the battle zone, choose a creature in the battle zone and return it to owner's hand."
"Ganastora, Vajra God",4,light,Creature,god,5000,r,dm-24,13/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ While this creature isn't linked, it can't attack players.
■ God Link (Garasarama, Shura King) Left Side (If you have the specified God in the battle zone, you may link it to this card. The linked God has the characteristics of each God (power and abilities) and becomes one creature. When it would leave the battle zone, choose either card.)
■ While this creature is linked, at the end of each of your turns, untap this creature."
Civil Bind,5,light,Spell,,,r,dm-24,14/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Choose a civilization. Until the end of your opponent's next turn, they can't cast spells of the chosen civilization."
"Garasarama, Shura King",6,water,Creature,god,4000,r,dm-24,15/110,"■ Whenever this creature attacks, you may draw a card.
■ God Link (Ganastora, Vajra God) Right Side (If you have the specified God in the battle zone, you may link it to this card. The linked God has the characteristics of each God (power and abilities) and becomes one creature. When it would leave the battle zone, choose either card.)
■ While this creature is linked, it has ""double breaker""."
"Kiki, Evil Ways God",5,water,Creature,god,3000,r,dm-24,16/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Whenever this creature blocks, you may draw a card.
■ God Link (Kaikai, Foreign Ways God) Left Side (If you have the specified God in the battle zone, you may link it to this card. The linked God has the characteristics of each God (power and abilities) and becomes one creature. When it would leave the battle zone, choose either card.)
■ While this creature is linked, it has ""double breaker""."
Fall Crawler,4,water,Creature,earth_eater,2000,r,dm-24,17/110,"■ When you put this creature into the battle zone, return a card from your mana zone to your hand. Then your opponent returns a card from their mana zone to their hand.
■ Over Drive—Darkness x2 (When you summon this creature, you may tap another 2 darkness cards in your mana zone. If you do, this creature gets the following over drive ability.)
  When you put this creature into the battle zone, choose a civilization. Look at your opponent's hand and discard a card that has that civilization from it."
Senju Splash,4,water,Spell,,,r,dm-24,18/110,■ Choose a player. That player chooses one of their cards in the battle zone or mana zone and puts it on top of their deck.
"Baramgainer, Evil Mystic Beast",7,nature,Creature,demon_command,6000,r,dm-24,19/110,"■ When you summon a multicolored creature, if this creature is in your graveyard, return this card to your hand.
■ Double breaker (This creature breaks 2 shields.)"
Statue Mutant,6,darkness,Creature,hedrian,5000,r,dm-24,20/110,"■ If you have all civilizations on your creatures, your opponent can't use ""shield trigger""."
"Kaikai, Foreign Ways God",5,darkness,Creature,god,4000,r,dm-24,21/110,"■ Whenever your opponent casts a spell, you may draw a card.
■ God Link (Kiki, Evil Ways God) Right Side (If you have the specified God in the battle zone, you may link it to this card. The linked God has the characteristics of each God (power and abilities) and becomes one creature. When it would leave the battle zone, choose either card.)
■ While this creature is linked, whenever you draw cards, your opponent chooses and discards the same number of cards from their hand."
"Bilgias, Hardened Demon of Hellfire",5,darkness,Creature,demon_command,1000,r,dm-24,22/110,"■ When you put this creature into the battle zone, choose one of your opponent's creatures in the battle zone. That creature gets -3000 power until the end of the turn.
■ Over Drive—Fire x2 (When you summon this creature, you may tap another 2 fire cards in your mana zone. If you do, this creature gets the following over drive ability.)
  When you put this creature into the battle zone, destroy one of your opponent's creatures that has power 3000 or less."
Breakable Dragon,5,fire,Creature,armored_dragon,7000,r,dm-24,23/110,"■ Whenever this creature attacks, you may tap 2 darkness or nature cards in your mana zone. Otherwise, destroy this creature.
■ Double breaker (This creature breaks 2 shields.)"
"Toscynder, Secular Trooper",4,fire,Creature,armorloid,3000,r,dm-24,24/110,"■ While you have no cards in your hand, this creature gets +3000 power."
"Karz, Priest of the Colored Wind",3,fire,Creature,feathernoid,2000,r,dm-24,25/110,"■ Each of your darkness or nature creatures in the battle zone are also fire creatures.
■ Each of your other fire creatures in the battle zone gets +1000 power."
Universe Blast,8,fire,Spell,,,r,dm-24,26/110,■ Destroy all tapped creatures that have power 6000 or less or all untapped creatures that have power 3000 or less.
Rainbow Giant,6,nature,Creature,gianto,5000,r,dm-24,27/110,"■ While you have a light, water, darkness, or fire creature in the battle zone, this creature gets +4000 power and ""double breaker""."
Master Arms,5,nature,Creature,beast_folk,2000,r,dm-24,28/110,"■ When you put this creature into the battle zone, reveal any number of Light, Water, Darkness, or Fire cards from your hand. Each of your creatures get +1000 power for each card revealed until the end of the turn."
Bomber Yam,2,nature,Creature,wild_veggies,1000,r,dm-24,29/110,"■ Over Drive—Light x2 (When you summon this creature, you may tap another 2 light cards in your mana zone. If you do, this creature get the following over drive ability.)
  When you put this creature into the battle zone, during your opponent's next turn, your opponent's creatures can't attack creatures."
Crest of Mother,3,nature,Spell,,,r,dm-24,30/110,"■ Choose a civilization. You may put one of your creatures that has the chosen civilization from the battle zone into your mana zone. If you do, choose a creature in your mana zone that has the same civilization as the chosen creature that costs the same as or less than than the number of cards in your mana zone and put it into the battle zone."
Steel Meteor Pengkaiser,7,light/water,Evolution Creature,phoenix/great_mecha_king,9500,r,dm-24,31/110,"■ (This creature is put into your mana zone tapped.)
■ Vortex evolution—Put on one of your Light creatures and one of your Water creatures.
■ Each of your other creatures in the battle zone that have ""blocker"" gets ""Saver: Phoenix"".
■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Double breaker (This creature breaks 2 shields.)"
"Gwem, Demonic Spirit Knight",8,light/darkness,Creature,arc_seraphim/demon_command,8000,r,dm-24,32/110,"■ (This creature is put into your mana zone tapped.)
■ Double breaker (This creature breaks 2 shields.)
■ When this creature is destroyed, add the top card of your deck to your shields face down. Then choose one of your opponent's shields and put it into their graveyard."
"Rigudo, Glory of Gaia",6,light/fire,Creature,lost_crusader,4000,r,dm-24,33/110,"■ (This creature is put into your mana zone tapped.)
■ Lost Prism (When you put this creature into the battle zone, reveal the top card of your deck. If it's a multicolored card, put it into your hand.)
■ Speed attacker (This creature doesn't get summoning sickness.)
■ At the end of each of your turns, untap this creature."
"Geo Mastercha, Unrivaled Dragon Spirit",7,light/nature,Creature,apollonia_dragon/earth_dragon,8000,r,dm-24,34/110,"■ (This creature is put into your mana zone tapped.)
■ Each of your creatures in the battle zone that cost 4 or more gets +3000 power and the Apollonia Dragon and Earth Dragon races.
■ Double breaker (This creature breaks 2 shields.)"
"Gulan Berze, Poseidon Destroying Dragon",7,water/darkness,Creature,poseidia_dragon/zombie_dragon,9000,r,dm-24,35/110,"■ (This creature is put into your mana zone tapped.)
■ Whenever this creature attacks your opponent and isn't blocked, choose a civilization. Your opponent reveals their hand and discards all cards that have that civilization. Then for each card your opponent discards, look at one of your shields.
■ Double breaker (This creature breaks 2 shields.)"
"Agart, Gaia's Cold Steel",5,water/fire,Creature,lost_crusader,4000,r,dm-24,36/110,"■ (This creature is put into your mana zone tapped.)
■ Lost Prism (When you put this creature into the battle zone, reveal the top card of your deck. If it's a multicolored card, put it into your hand.)
■ While you have more civilizations in the battle zone than your opponent, this creature gets +3000 power and has ""double breaker""."
"Rainbarrel, Viral Totem",4,water/nature,Creature,cyber_virus/mystery_totem,4000,r,dm-24,37/110,"■ (This creature is put into your mana zone tapped.)
■ Whenever this creature battles, reveal the top 2 cards of your deck. This creature gets +4000 power for each multicolored card revealed this way until the end of the turn. Then return them to your deck in any order."
"Night Screamer, the Battle Meteor",7,darkness/fire,Evolution Creature,phoenix/tyranno_drake,11000,r,dm-24,38/110,"■ (This creature is put into your mana zone tapped.)
■ Vortex evolution—Put on one of your darkness creatures and one of your fire creatures.
■ Whenever this creature attacks, if your opponent doesn't have a God or Phoenix in the battle zone, your opponent chooses one of their untapped creatures and destroys it.
■ Double breaker"
Blade of Enchanting Pulses,5,darkness/nature,Spell,,,r,dm-24,39/110,"■ You may cast a spell that has ""shield trigger"" from your mana zone for no cost."
"Zorbalard, Matchless Dragonic Machine",9,fire/nature,Creature,armored_dragon/earth_dragon,14000,r,dm-24,40/110,"■ (This creature is put into your mana zone tapped.)
■ If your opponent doesn't have creatures in the battle zone, this creature can't attack.
■ Triple breaker (This creature breaks 3 shields.)"
"Crossheim, Gold Elemental",6,light,Creature,angel_command,1000,u,dm-24,41/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Each of your multicolored creatures in the battle zone gets ""blocker""."
"Soldias, the Patroller",3,light,Creature,cosmo_walker,2500,u,dm-24,42/110,"■ Instead of having this creature attack, you may tap it and 8 untapped cards in your mana zone to use its tap ability.
 Return a spell from your graveyard to your hand."
"Erus Elixion, Dyed Sky Guardian",3,light,Creature,guardian,2000,u,dm-24,43/110,"■ Each of your water and nature creatures in the battle zone are also light creatures.
■ Each of your other light creatures in the battle zone gets +1000 power."
"Rajasta, the Patroller",2,light,Creature,cosmo_walker,1500,u,dm-24,44/110,"■ Whenever this creature attacks, you may tap 2 nature cards in your mana zone. If you do, this creature gets +3000 power until the end of the turn."
Navy Negotiator,6,water,Creature,merfolk,1000,u,dm-24,45/110,"■ When you put this creature into the battle zone, reveal any number of light, darkness, fire, or nature cards from your hand. For each card revealed this way, draw a card."
Fuuma Octonarics,5,water,Creature,grand_devil,2000,u,dm-24,46/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ Instead of having this creature attack, you may tap it and 8 untapped cards in your mana zone to use its tap ability.
 Return a card in a players mana zone to its owner's hand."
Paint Frappe,5,water,Creature,splash_queen,1000,u,dm-24,47/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Each of your light and darkness creatures in the battle zone are also water creatures.
■ Each of your other water creatures in the battle zone gets +1000 power."
Seaspin Crawler,3,water,Creature,earth_eater,3000,u,dm-24,48/110,"■ Whenever this creature attacks, you may tap 2 light cards in your mana zone. If you do, untap this creature at the end of the turn."
Fuuma Deathgator,6,darkness,Creature,grand_devil,5000,u,dm-24,49/110,"■ Slayer (Whenever this creature battles, destroy the other creature after the battle.)
■ Whenever this creature attacks, you may tap 2 water cards in your mana zone. If you do, this creature can't be blocked until the end of the turn."
"Princess Zenobia, the Blackened",5,darkness,Creature,dark_lord,3000,u,dm-24,50/110,"■ Each of your water and fire creatures in the battle zone are also darkness creatures.
■ Each of your other darkness creatures in the battle zone gets +1000 power."
Viceflame Dragoon,3,darkness,Creature,tyranno_drake,2000,u,dm-24,51/110,"■ Instead of having this creature attack, you may tap it and 8 untapped cards in your mana zone to use its tap ability.
 Look at your opponent's hand and discard a card from it."
Infernal Smash,4,darkness,Spell,,,u,dm-24,52/110,■ Destroy one of your opponent's non-multicolored creatures.
"Mimizuke, Darkwind Sharpshooter",5,fire,Creature,feathernoid,2000,u,dm-24,53/110,"■ Whenever this creature attacks, you may tap 2 darkness cards in your mana zone. If you do, look at your opponent's hand and discard a card from it."
Violent Warrior Jetraios,4,fire,Creature,armorloid,1000,u,dm-24,54/110,"■ Speed attacker (This creature doesn't get summoning sickness.)
■ Over Drive—Nature x2 (When you summon this creature, you may tap another 2 nature cards in your mana zone. If you do, this creature gets the following over drive ability.)
  When you put this creature into the battle zone, this creature gets ""Power attacker +5000"" and ""Double breaker"" until the end of the turn."
"Kiritorawonga, Myriadblade Violence Elephant",3,fire,Creature,god,2000,u,dm-24,55/110,"■ God Link (Kirimenole, Myriadcast Magic Elephant) Left Side (If you have the specified God in the battle zone, you may link it to this card. The linked God has the characteristics of each God (power and abilities) and becomes one creature. When it would leave the battle zone, choose either card.)
■ While this creature is linked, it has ""power attacker +3000""."
"Jamool, Master of Four Winds",2,fire,Creature,feathernoid,1000,u,dm-24,56/110,"■ Instead of having this creature attack, you may tap it and 8 untapped cards in your mana zone to use its tap ability.
 Choose one of your creatures in the battle zone. That creature gets +6000 power and ""double breaker"" until the end of the turn."
Triple Hammer Tribe,5,nature,Creature,beast_folk,3000,u,dm-24,57/110,"■ Whenever this creature attacks, you may tap 2 fire cards in your mana zone. If you do, destroy one of your opponent's creatures that has ""blocker""."
"Kirimenole, Myriadcast Magic Elephant",4,nature,Creature,god,3000,u,dm-24,58/110,"■ God Link (Kiritorawonga, Myriadblade Violence Elephant) Right Side (If you have the specified God in the battle zone, you may link it to this card. The linked God has the characteristics of each God (power and abilities) and becomes one creature. When it would leave the battle zone, choose either card.)
■ While this creature is linked, it has ""double breaker""."
"Lilian, Dream Painter",3,nature,Creature,snow_faerie,2000,u,dm-24,59/110,"■ Each of your light and fire creatures in the battle zone are also nature creatures.
■ Each of your other nature creatures in the battle zone gets +1000 power."
"Asuran, Spirit Knight",3,nature,Creature,arc_seraphim,2000,u,dm-24,60/110,"■ Instead of having this creature attack, you may tap it and 8 untapped cards in your mana zone to use its tap ability.
 Search your deck. You may take a creature from your deck, show that creature to your opponent, and put it into your hand. Then shuffle your deck."
Mecha Crawler Tornadah,5,light/water,Creature,great_mecha_king/earth_eater,8500,u,dm-24,61/110,"■ (This creature is put into your mana zone tapped.)
■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players."
"Wheel, Viral Spirit Knight",4,light/water,Creature,arc_seraphim/cyber_virus,4000,u,dm-24,62/110,"■ (This creature is put into your mana zone tapped.)
■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players.
■ When this creature is destroyed, untap 2 of your creatures in the battle zone or draw a card."
"Jiktous, Gaia's Sunfang",4,light/nature,Creature,lost_crusader,2000,u,dm-24,63/110,"■ (This creature is put into your mana zone tapped.)
■ Lost Prism (When you put this creature into the battle zone, reveal the top card of your deck. If it's a multicolored card, put it into your hand.)"
"Elephaust, Phantom Beast Sage",3,light/nature,Creature,gladiator/dreammate,1500,u,dm-24,64/110,"■ (This creature is put into your mana zone tapped.)
■ When this creature is destroyed, put the top card of your deck into your mana zone or untap up to 2 of your creatures in the battle zone."
"Tabomas, Blue Curse of Gaia",5,water/darkness,Creature,lost_crusader,3000,u,dm-24,65/110,"■ (This creature is put into your mana zone tapped.)
■ Lost Prism (When you put this creature into the battle zone, reveal the top card of your deck. If it's a multicolored card, put it into your hand.)
■ When this creature would be destroyed, return it to your hand instead."
"Born Killer, Masked Mecha",2,water/darkness,Creature,great_mecha_king/devil_mask,1000,u,dm-24,66/110,"■ (This creature is put into your mana zone tapped.)
■ When this creature is destroyed, draw a card or your opponent discards a card from their hand."
"Kornba, Red Destroyer of Gaia",6,darkness/fire,Creature,lost_crusader,6000,u,dm-24,67/110,"■ (This creature is put into your mana zone tapped.)
■ Lost Prism (When you put this creature into the battle zone, reveal the top card of your deck. If it's a multicolored card, put it into your hand.)
■ Double breaker (This creature breaks 2 shields.)"
"Fuuma Bajir, Soul Weapon",3,darkness/fire,Creature,grand_devil/xenoparts,2000,u,dm-24,68/110,"■ (This creature is put into your mana zone tapped.)
■ When this creature is destroyed, destroy one of your opponent's creatures that has power 3000 or less or your opponent discards a card from their hand."
"Argos, Gaia's Treeblaze",5,fire/nature,Creature,lost_crusader,2000,u,dm-24,69/110,"■ (This creature is put into your mana zone tapped.)
■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Lost Prism (When you put this creature into the battle zone, reveal the top card of your deck. If it's a multicolored card, put it into your hand.)"
"Tylnia, Battle Dragonic Fairy",3,fire/nature,Creature,tyranno_drake/snow_faerie,1000,u,dm-24,70/110,"■ (This creature is put into your mana zone tapped.)
■ When this creature is destroyed, destroy one of your opponent's creatures in the battle zone that has power 3000 or less or put the top card of your deck into your mana zone."
"Ogri Holycuse, Colorful Wind Guardian",4,light,Creature,guardian,5000,c,dm-24,71/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ If you don't have a water, darkness, fire, or nature creature in the battle zone, this creature can't attack players."
"Zerbia, the Explorer",4,light,Creature,gladiator,4000,c,dm-24,72/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players.
■ Whenever this creature blocks, this creature gets +2000 power."
"La Bal Platoon, Red Lotus Guardian",4,light,Creature,guardian,1000,c,dm-24,73/110,"■ When you put this creature into the battle zone, choose a civilization. Tap all creatures that have other civilizations."
"Kultos, Knight Vizier",3,light,Creature,arc_seraphim/initiate,4000,c,dm-24,74/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players."
Colorful Mecha Max Geyser,3,light,Creature,great_mecha_king,2000,c,dm-24,75/110,"■ Whenever you summon a water, darkness, fire, or nature creature, or cast a water, darkness, fire, or nature spell, this creature gets +2000 power until the end of the turn."
"Mamocannon, Saint Mecha",3,light,Creature,saint_head/machine_hero,1000,c,dm-24,76/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack players.
■ Your water and nature creatures each cost 1 less to summon. They can't cost less than 1."
Pirate Mecha Skullhook,2,light,Creature,great_mecha_king,1500,c,dm-24,77/110,"■ Over Drive—Nature x1 (When you summon this creature, you may tap another 1 nature card in your mana zone. If you do, this creature gets the following over drive ability.)
 : When you put this creature into the battle zone, one of your creatures in the battle zone gets ""power attacker +2000"" until the end of the turn."
Solar Drive,2,light,Spell,,,c,dm-24,78/110,"■ Choose one of your creatures in the battle zone. At the end of the turn, untap that creature.
■ Over Drive—Water x1 (When you cast this spell, you may tap another 1 water card in your mana zone. If you do, this spell gets the following over drive ability.)
  Choose one of your opponent's creatures in the battle zone and tap it."
Fuzzy Fizz,5,water,Creature,splash_queen,4000,c,dm-24,79/110,"■ Whenever this creature attacks, if you have a Light, Darkness, Fire, or Nature creature in the battle zone, you may draw a card."
Mecha Crawler Slugnas,5,water,Creature,great_mecha_king/earth_eater,2000,c,dm-24,80/110,"■ Instead of having this creature attack, you may tap it to use its tap ability.
 Choose one of your Light, Darkness, Fire, or Nature creatures in the battle zone. This turn, that creature can't be blocked."
Mollusk Pirate,4,water,Creature,merfolk,3000,c,dm-24,81/110,"■ Over Drive—Light x1 (When you summon this creature, you may tap another 1 light card in your mana zone. If you do, this creature gets the following over drive ability.)
  When you put this creature into the battle zone, return a spell from your mana zone to your hand."
Royal Adonis,4,water,Creature,splash_queen,2000,c,dm-24,82/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ When you put this creature into the battle zone, look at the top 3 cards of your deck, and put them back on top of your deck in any order."
Deepsea Mecha Ganistar,3,water,Creature,machine_hero/deep_marine,2000,c,dm-24,83/110,■ Your light and darkness creatures each cost 1 less to summon. They can't cost less than 1.
Wandering Sphere,2,water,Creature,cyber_virus,3000,c,dm-24,84/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack."
Spiral Drive,3,water,Spell,,,c,dm-24,85/110,"■ Choose a creature in the battle zone and return it to its owner's hand.
■ Over Drive—Darkness x1 (When you cast this spell, you may tap another 1 darkness card in your mana zone. If you do, this spell gets the following over drive ability.)
  Return a creature from your graveyard to your hand."
Lost Watergate,1,water,Spell,,,c,dm-24,86/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Search your deck. You may take a multicolored card from it, and show it to your opponent. Then shuffle your deck and put that card on top of your deck."
"Shamanba, Funeral Doll",5,darkness,Creature,death_puppet,3000,c,dm-24,87/110,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ This creature can't attack.
■ When you put this creature into the battle zone, you may return a multicolored creature from your graveyard to your hand."
"Zandaba, the Hidden Strongarm",4,darkness,Creature,pandora's_box,4000,c,dm-24,88/110,
"Abaramba, Treasure Fuuma",4,darkness,Creature,grand_devil/pandora's_box,3000,c,dm-24,89/110,"■ Over Drive—Water x1 (When you summon this creature, you may tap another water card in your mana zone. If you do, this creature gets the following over drive ability.)
When you put this creature into the battle zone, draw 3 cards. Then put 2 cards from your hand on the top of your deck in any order."
"Greenman, the Hidden Poison",3,darkness,Creature,pandora's_box,2000,c,dm-24,90/110,"■ Each of your multicolored creatures in the battle zone gets ""slayer"". (Whenever a creature that has ""slayer"" battles, destroy the other creature after the battle.)"
"Romunas, Deepsea Firespirit",3,darkness,Creature,deep_marine/brave_spirit,2000,c,dm-24,91/110,■ Your water and fire creatures each cost 1 less to summon. They can't cost less than 1.
"Elreus, Dead Rhythm Earl",2,darkness,Creature,dark_lord,3000,c,dm-24,92/110,"■ When this creature is destroyed, destroy one of your non-Darkness creatures."
Darkflame Drive,5,darkness,Spell,,,c,dm-24,93/110,"■ Destroy one of your opponent's untapped creatures.
■ Over Drive—Fire x1 (When you cast this spell, you may tap another 1 fire card in your mana zone. If you do, this spell gets the following over drive ability.)
  One of your creatures in the battle zone gets ""double breaker"" until the end of the turn."
Skull Chainsaw,3,darkness,Spell,,,c,dm-24,94/110,"■ Your opponent discards a card from their hand. If they can't discard a card, your opponent destroys one of their creatures or puts a card in their mana zone into their graveyard."
"Magmahammer, Battle Dragonic Mountains",6,fire,Creature,tyranno_drake/big_muscle,5000,c,dm-24,95/110,"■ Each of your multicolored creatures in the battle zone gets ""speed attacker"". (A creature that has ""speed attacker"" doesn't get summoning sickness.)"
Super Gunner Volgan,4,fire,Creature,human,2000,c,dm-24,96/110,"■ Power attacker +3000 (While attacking, this creature gets +3000 power.)"
"Jangaljan, Firespirit Beetle",3,fire,Creature,brave_spirit/vehicle_bee,1000,c,dm-24,97/110,"■ Power attacker +2000 (While attacking, this creature gets +2000 power.)
■ Your darkness and nature creatures each cost 1 less to summon. They can't cost less than 1."
Muramasa's Socket,3,fire,Creature,xenoparts,1000,c,dm-24,98/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ When you put this creature into the battle zone, destroy one of your opponent's creatures that has power 1000 or less."
Ralbin of Pop Mountain,2,fire,Creature,dreammate,1000,c,dm-24,99/110,"■ While you have a nature card in your mana zone, this creature gets +2000 power."
Omega Sweeper,6,fire,Spell,,,c,dm-24,100/110,■ Destroy one of your opponent's creature that has power 5000 or less or 2 of your opponent's creatures that have power 2000 or less.
Roulette Beam,5,fire,Spell,,,c,dm-24,101/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Destroy one of your opponent's non-multicolored creatures that has power 5000 or less."
Mach Drive,1,fire,Spell,,,c,dm-24,102/110,"■ One of your creatures in the battle zone gets ""speed attacker"" until the end of your turn.
■ Over Drive—Nature x1 (When you cast this spell, you may tap another 1 nature card in your mana zone. If you do, this spell gets the following over drive ability.)
  That creature gets ""Power attacker +3000"" until the end of the turn."
"Karafule, Phantom Beast Totem",6,nature,Creature,dreammate/mystery_totem,3000,c,dm-24,103/110,"■ Whenever one of your Light, Water, Darkness, or Fire creatures would be destroyed, you may put it into your mana zone instead."
Pulse Totem,5,nature,Creature,mystery_totem,4000,c,dm-24,104/110,"■ Whenever this creature attacks a water or darkness creature, this creature gets +3000 power, and untaps at the end of your turn."
Crackling Chestnut,5,nature,Creature,wild_veggies,4000,c,dm-24,105/110,"■ Over Drive—Fire x1 (When you summon this creature, you may tap another fire card in your mana zone. If you do, this creature gets the following over drive ability.)
  When you put this creature into the battle zone, this creature gets ""speed attacker"" until the end of the turn."
"Pallku, Sacredflame Fairy",3,nature,Creature,snow_faerie,2000,c,dm-24,106/110,■ Nature cards in your mana zone are also light and fire cards.
"Metalbug, Saint Beetle",3,nature,Creature,vehicle_bee/saint_head,2000,c,dm-24,107/110,■ Your light and fire creatures each cost 1 less to summon. They can't cost less than 1.
Baby Birth,4,nature,Spell,,,c,dm-24,108/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Search your deck. You may take a light, water, darkness, or fire creature that costs 2 or less from it and put it into the battle zone. Then shuffle your deck."
Gardening Drive,3,nature,Spell,,,c,dm-24,109/110,"■ Put the top card of your deck into your mana zone.
■ Over Drive—Light x1 (When you cast this spell, you may tap another 1 light card in your mana zone. If you do, this spell gets the following over drive ability.)
  Return a spell from your mana zone to your hand."
Spirit Reincarnation,2,nature,Spell,,,c,dm-24,110/110,"■ Shield trigger (When this card is put into your hand from your shield zone, you may play it immediately for no cost.)
■ Destroy one of your creatures. Then put cards from the top of your deck into your mana zone equal to the same number of civilizations of the destroyed creature."
"Olzekia, General of Decapitation",7,darkness,Creature,demon_command,6000,sr,dm-25,S1/S5,"■ Double breaker
■ When you put this creature into the battle zone, destroy one of your creatures. Then your opponent chooses 2 of their creatures and destroys them."
"Jose Wilbert, Gaia's Justice",6,light/water/fire,Creature,lost_crusader,5000,sr,dm-25,S2/S5,"■ Whenever this creature attacks, play Rock-Paper-Scissors with your opponent. If you win, this creature gets ""Triple breaker"" until the end of the turn.
■ When this creature would be destroyed, play Rock-Paper-Scissors with your opponent. If you win, return this creature to your hand instead."
Soul Reaping Sardonyx,5,light/darkness/fire,Creature,spirit_quartz,1000,sr,dm-25,S3/S5,"■ (This creature is put into your mana zone tapped.)
■ Whenever this creature attacks, you may destroy any number of your creatures in the battle zone. For each creature destroyed, this creature gets +3000 power and breaks an additional shield until the end of the turn.
■ At the end of each of your turns, you may untap this creature."
"Romanesk, the Dragon Wizard",6,light/fire/nature,Creature,apollonia_dragon/armored_dragon/earth_dragon,5000,sr,dm-25,S4/S5,"■ Blocker (Whenever an opponent's creature attacks, you may tap this creature to stop the attack. Then the 2 creatures battle.)
■ When you put this creature, you may put the top 4 cards of your deck into your mana zone.
■ At the end of each of your turns, put a card from your mana zone into your graveyard."
"Violence Thunder, Extreme Dragon Wizard",10,water/darkness/fire,Evolution Creature,poseidia_dragon/zombie_dragon/armored_dragon,12000,sr,dm-25,S5/S5,"■ (This creature is put into your mana zone tapped.)
■ Evolution—Put on one of your multicolored creatures.
■ Whenever this creature attacks your opponent and isn't blocked, draw 3 cards, your opponent discards 3 cards at random from their hand, and you may destroy one of your opponent's creatures that has power 6000 or less.
■ Triple breaker"
Elementius Thunderbolt Dragon,7,fire,Creature,armored_dragon,6000,vr,dm-25,1/55,"■ While you have no shields, this creature gets ""speed attacker"".
■ When your last shield is broken, before you break that shield destroy one of your opponent's creatures that has power 4000 or less.
■ When your last shield is put into your graveyard, before you put that shield into your graveyard, destroy one of your opponent's creatures that has power 4000 or less.
■ Double breaker"
